Transaction Period,Memo,Cost/Price,Merchant Categ,Remaining,,,,
3/14/25,,2317,,2317,,,,
10/14/25,,1984,,4301,,,,
2/23/25,,1028,,5329,,,,
2/24/25,,5156,,10485,,,,
9/28/25,,5059,,15544,,,,
12/21/25,,1243,,16787,,,,
5/29/25,,1790,,18577,,,,
11/6/25,,9305,,27882,,,,
7/16/25,,-4950,,22932,,,,
10/11/25,,8496,,31428,,,,
10/2/25,,9486,,40914,,,,
12/28/25,,-299,,40615,,,,
5/17/25,,3914,,44529,,,,
4/14/25,,7020,,51549,,,,
5/8/25,,1980,,53529,,,,
6/30/25,,-3166,,50363,,,,
2/26/25,,7840,,58203,,,,
12/18/25,,-3413,,54790,,,,
3/12/25,,-733,,54057,,,,
5/8/25,,-1829,,52228,,,,
3/25/25,,-1992,,50236,,,,
6/18/25,,-613,,49623,,,,
5/6/25,,5920,,55543,,,,
4/5/25,,7618,,63161,,,,
8/21/25,,438,,63599,,,,
8/27/25,,1009,,64608,,,,
7/1/25,,-4187,,60421,,,,
8/19/25,,3989,,64410,,,,
4/21/25,,-2503,,61907,,,,
3/25/25,,2755,,64662,,,,
6/19/25,,9051,,73713,,,,
4/30/25,,-929,,72784,,,,
5/9/25,,-3026,,69758,,,,
10/20/25,,-3080,,66678,,,,
4/25/25,,8468,,75146,,,,
6/14/25,,7301,,82447,,,,
2/9/25,,3380,,85827,,,,
6/26/25,,7053,,92880,,,,
3/16/25,,1425,,94305,,,,
6/2/25,,-4451,,89854,,,,
9/21/25,,2963,,92817,,,,
11/24/25,,9479,,102296,,,,
4/5/25,,9440,,111736,,,,
8/2/25,,9218,,120954,,,,
5/29/25,,-1081,,119873,,,,
5/25/25,,3091,,122964,,,,
9/24/25,,5805,,128769,,,,
8/31/25,,6103,,134872,,,,
6/29/25,,6584,,141456,,,,
4/14/25,,9141,,150597,,,,
12/5/25,,563,,151160,,,,
9/22/25,,-1124,,150036,,,,
11/29/25,,-1369,,148667,,,,
2/3/25,,7579,,156246,,,,
4/7/25,,-3873,,152373,,,,
9/1/25,,-3637,,148736,,,,
12/1/25,,4759,,153495,,,,
1/2/25,,-2301,,151194,,,,
3/5/25,,-2536,,148658,,,,
12/13/25,,-617,,148041,,,,
6/24/25,,2482,,150523,,,,
9/29/25,,1523,,152046,,,,
12/3/25,,-3119,,148927,,,,
11/10/25,,8003,,156930,,,,
10/5/25,,8962,,165892,,,,
9/24/25,,8267,,174159,,,,
6/29/25,,4312,,178471,,,,
11/14/25,,2150,,180621,,,,
1/14/25,,-4923,,175698,,,,
1/6/25,,6069,,181767,,,,
6/5/25,,1007,,182774,,,,
1/23/25,,-1454,,181320,,,,
2/10/25,,3286,,184606,,,,
8/14/25,,9532,,194138,,,,
11/3/25,,3930,,198068,,,,
12/26/25,,1869,,199937,,,,
3/24/25,,108,,200045,,,,
4/17/25,,9910,,209955,,,,
3/1/25,,-2424,,207531,,,,
8/28/25,,9767,,217298,,,,
1/28/25,,4886,,222184,,,,
2/13/25,,9775,,231959,,,,
11/8/25,,5555,,237514,,,,
9/9/25,,6204,,243718,,,,
3/14/25,,4423,,248141,,,,
11/4/25,,-373,,247768,,,,
10/8/25,,-2932,,244836,,,,
10/10/25,,-3303,,241533,,,,
11/10/25,,6208,,247741,,,,
1/23/25,,-4714,,243027,,,,
4/23/25,,652,,243679,,,,
7/4/25,,4935,,248614,,,,
3/1/25,,3897,,252511,,,,
11/27/25,,-1425,,251086,,,,
1/27/25,,529,,251615,,,,
7/21/25,,-2669,,248946,,,,
4/26/25,,-1808,,247138,,,,
5/10/25,,634,,247772,,,,
5/19/25,,-4312,,243460,,,,
10/30/25,,5286,,248746,,,,
10/23/25,,1056,,249802,,,,
4/14/25,,7726,,257528,,,,
10/7/25,,-2373,,255155,,,,
10/25/25,,6680,,261835,,,,
8/28/25,,-4956,,256879,,,,
8/9/25,,-4221,,252658,,,,
7/30/25,,3966,,256624,,,,
10/16/25,,-2929,,253695,,,,
12/20/25,,2088,,255783,,,,
10/24/25,,4503,,260286,,,,
1/11/25,,9192,,269478,,,,
7/24/25,,6660,,276138,,,,
8/31/25,,6200,,282338,,,,
2/24/25,,1254,,283592,,,,
10/22/25,,3571,,287163,,,,
5/5/25,,9301,,296464,,,,
11/10/25,,9124,,305588,,,,
9/18/25,,8149,,313737,,,,
2/1/25,,-2116,,311621,,,,
8/7/25,,8365,,319986,,,,
1/22/25,,3779,,323765,,,,
5/19/25,,7548,,331313,,,,
12/26/25,,-3940,,327373,,,,
5/28/25,,2067,,329440,,,,
9/30/25,,634,,330074,,,,
10/29/25,,-186,,329888,,,,
7/11/25,,3761,,333649,,,,
4/25/25,,6133,,339782,,,,
1/11/25,,-2985,,336797,,,,
3/10/25,,7798,,344595,,,,
11/27/25,,-3,,344592,,,,
6/18/25,,-3236,,341356,,,,
11/12/25,,-1291,,340065,,,,
11/27/25,,4367,,344432,,,,
9/22/25,,1888,,346320,,,,
9/30/25,,-1655,,344665,,,,
12/4/25,,8645,,353310,,,,
9/15/25,,7989,,361299,,,,
1/11/25,,-860,,360439,,,,
4/17/25,,7489,,367928,,,,
5/15/25,,2499,,370427,,,,
10/13/25,,-3847,,366580,,,,
4/20/25,,9420,,376000,,,,
5/28/25,,8400,,384400,,,,
6/12/25,,1598,,385998,,,,
9/20/25,,-1267,,384731,,,,
7/7/25,,-1668,,383063,,,,
1/30/25,,2939,,386002,,,,
8/7/25,,6221,,392223,,,,
7/9/25,,8248,,400471,,,,
4/15/25,,1663,,402134,,,,
4/26/25,,543,,402677,,,,
5/26/25,,-2437,,400240,,,,
1/17/25,,4654,,404894,,,,
6/28/25,,2480,,407374,,,,
4/17/25,,-46,,407328,,,,
5/21/25,,-451,,406877,,,,
5/7/25,,2136,,409013,,,,
5/15/25,,1393,,410406,,,,
1/2/25,,6055,,416461,,,,
7/20/25,,2000,,418461,,,,
10/7/25,,534,,418995,,,,
2/15/25,,-3717,,415278,,,,
3/17/25,,563,,415841,,,,
9/21/25,,-3716,,412125,,,,
1/21/25,,-4556,,407569,,,,
10/2/25,,991,,408560,,,,
12/12/25,,9387,,417947,,,,
8/18/25,,157,,418104,,,,
8/2/25,,-472,,417632,,,,
1/7/25,,-1575,,416057,,,,
5/5/25,,-2105,,413952,,,,
3/28/25,,-55,,413897,,,,
6/29/25,,2312,,416209,,,,
6/30/25,,-1774,,414435,,,,
8/22/25,,2278,,416713,,,,
7/5/25,,5327,,422040,,,,
12/17/25,,-2205,,419835,,,,
4/7/25,,3603,,423438,,,,
8/23/25,,9293,,432731,,,,
5/12/25,,1865,,434596,,,,
4/1/25,,2286,,436882,,,,
4/8/25,,-3439,,433443,,,,
7/5/25,,-1311,,432132,,,,
5/1/25,,-1206,,430926,,,,
10/27/25,,7384,,438310,,,,
4/25/25,,-1472,,436838,,,,
7/7/25,,2365,,439203,,,,
1/31/25,,-3203,,436000,,,,
3/16/25,,4819,,440819,,,,
11/26/25,,-4183,,436636,,,,
1/16/25,,6030,,442666,,,,
5/14/25,,-727,,441939,,,,
8/15/25,,4074,,446013,,,,
3/16/25,,-19,,445994,,,,
10/27/25,,8724,,454718,,,,
12/15/25,,-2912,,451806,,,,
4/26/25,,-1690,,450116,,,,
2/12/25,,-2123,,447993,,,,
7/23/25,,-1149,,446844,,,,
1/20/25,,7109,,453953,,,,
6/28/25,,4410,,458363,,,,
5/9/25,,5502,,463865,,,,
12/9/25,,1655,,465520,,,,
7/15/25,,329,,465849,,,,
6/11/25,,50,,465899,,,,
12/6/25,,9500,,475399,,,,
5/16/25,,8864,,484263,,,,
1/12/25,,6626,,490889,,,,
11/28/25,,947,,491836,,,,
1/12/25,,4821,,496657,,,,
7/13/25,,5703,,502360,,,,
12/6/25,,-3624,,498736,,,,
3/26/25,,544,,499280,,,,
1/1/25,,2946,,502226,,,,
11/5/25,,-2982,,499244,,,,
1/6/25,,1146,,500390,,,,
11/27/25,,-1251,,499139,,,,
7/10/25,,7887,,507026,,,,
4/1/25,,7881,,514907,,,,
12/24/25,,-3951,,510956,,,,
6/22/25,,923,,511879,,,,
10/31/25,,8017,,519896,,,,
6/1/25,,3061,,522957,,,,
8/20/25,,7954,,530911,,,,
5/7/25,,-3420,,527491,,,,
7/11/25,,1517,,529008,,,,
10/4/25,,5388,,534396,,,,
1/10/25,,6976,,541372,,,,
10/29/25,,7976,,549348,,,,
4/28/25,,9949,,559297,,,,
12/30/25,,635,,559932,,,,
7/6/25,,887,,560819,,,,
10/26/25,,-2555,,558264,,,,
8/24/25,,6850,,565114,,,,
4/14/25,,-816,,564298,,,,
10/3/25,,8860,,573158,,,,
8/11/25,,1888,,575046,,,,
10/16/25,,8926,,583972,,,,
4/1/25,,2055,,586027,,,,
12/2/25,,6823,,592850,,,,
6/30/25,,-3668,,589182,,,,
1/13/25,,5929,,595111,,,,
9/9/25,,-271,,594840,,,,
2/2/25,,8438,,603278,,,,
1/2/25,,3352,,606630,,,,
10/31/25,,8608,,615238,,,,
8/6/25,,4301,,619539,,,,
4/25/25,,-377,,619162,,,,
6/12/25,,5837,,624999,,,,
1/5/25,,-890,,624109,,,,
9/11/25,,2660,,626769,,,,
10/26/25,,-1055,,625714,,,,
11/3/25,,345,,626059,,,,
5/4/25,,-2666,,623393,,,,
4/24/25,,811,,624204,,,,
11/20/25,,2760,,626964,,,,
8/15/25,,-4073,,622891,,,,
1/3/25,,1381,,624272,,,,
7/3/25,,-2708,,621564,,,,
5/13/25,,5284,,626848,,,,
7/9/25,,5373,,632221,,,,
11/23/25,,4162,,636383,,,,
4/27/25,,6277,,642660,,,,
5/15/25,,-4024,,638636,,,,
6/7/25,,-3792,,634844,,,,
8/23/25,,-64,,634780,,,,
8/2/25,,5692,,640472,,,,
2/24/25,,-1126,,639346,,,,
4/11/25,,-1292,,638054,,,,
12/14/25,,5358,,643412,,,,
4/8/25,,7104,,650516,,,,
3/11/25,,-790,,649726,,,,
6/13/25,,2140,,651866,,,,
5/13/25,,-3680,,648186,,,,
2/12/25,,-4885,,643301,,,,
5/29/25,,8480,,651781,,,,
3/9/25,,-1154,,650627,,,,
8/12/25,,-4277,,646350,,,,
8/28/25,,9781,,656131,,,,
5/31/25,,-1821,,654310,,,,
11/5/25,,-823,,653487,,,,
7/19/25,,-4805,,648682,,,,
10/26/25,,-1257,,647425,,,,
5/10/25,,-2080,,645345,,,,
11/11/25,,952,,646297,,,,
3/25/25,,4907,,651204,,,,
4/6/25,,2993,,654197,,,,
8/13/25,,7655,,661852,,,,
5/4/25,,4365,,666217,,,,
6/10/25,,4366,,670583,,,,
11/29/25,,7951,,678534,,,,
8/2/25,,9129,,687663,,,,
5/19/25,,6760,,694423,,,,
4/16/25,,4420,,698843,,,,
9/21/25,,-276,,698567,,,,
8/3/25,,8320,,706887,,,,
11/16/25,,1240,,708127,,,,
12/6/25,,-4905,,703222,,,,
6/28/25,,9297,,712519,,,,
5/13/25,,4762,,717281,,,,
10/30/25,,5205,,722486,,,,
2/11/25,,-3537,,718949,,,,
8/25/25,,4331,,723280,,,,
11/12/25,,-494,,722786,,,,
2/11/25,,7680,,730466,,,,
5/15/25,,6058,,736524,,,,
5/14/25,,7615,,744139,,,,
3/28/25,,-3744,,740395,,,,
7/10/25,,9710,,750105,,,,
7/15/25,,6485,,756590,,,,
8/6/25,,6109,,762699,,,,
6/15/25,,9539,,772238,,,,
3/7/25,,7596,,779834,,,,
9/10/25,,5090,,784924,,,,
8/26/25,,2019,,786943,,,,
12/7/25,,-4988,,781955,,,,
2/12/25,,6633,,788588,,,,
5/6/25,,919,,789507,,,,
6/6/25,,1236,,790743,,,,
1/11/25,,7788,,798531,,,,
5/22/25,,8534,,807065,,,,
2/3/25,,-1059,,806006,,,,
1/15/25,,1220,,807226,,,,
8/25/25,,2103,,809329,,,,
6/24/25,,3855,,813184,,,,
5/15/25,,4568,,817752,,,,
10/2/25,,5499,,823251,,,,
5/27/25,,3145,,826396,,,,
1/3/25,,1603,,827999,,,,
6/11/25,,-1086,,826913,,,,
12/12/25,,3112,,830025,,,,
5/8/25,,-996,,829029,,,,
4/23/25,,2487,,831516,,,,
5/14/25,,8798,,840314,,,,
5/28/25,,6659,,846973,,,,
4/12/25,,-213,,846760,,,,
7/14/25,,-4806,,841954,,,,
11/10/25,,9829,,851783,,,,
7/5/25,,6271,,858054,,,,
10/17/25,,-1471,,856583,,,,
2/28/25,,-4715,,851868,,,,
9/29/25,,5411,,857279,,,,
1/24/25,,-3572,,853707,,,,
3/23/25,,4848,,858555,,,,
7/23/25,,5616,,864171,,,,
2/21/25,,-4791,,859380,,,,
2/17/25,,4078,,863458,,,,
3/19/25,,-1534,,861924,,,,
4/24/25,,2900,,864824,,,,
8/31/25,,4259,,869083,,,,
9/13/25,,2146,,871229,,,,
4/24/25,,2652,,873881,,,,
2/27/25,,-3912,,869969,,,,
2/20/25,,2314,,872283,,,,
11/16/25,,4996,,877279,,,,
10/23/25,,-3002,,874277,,,,
4/11/25,,1171,,875448,,,,
9/27/25,,-3899,,871549,,,,
8/26/25,,5101,,876650,,,,
5/25/25,,8823,,885473,,,,
1/13/25,,-2878,,882595,,,,
7/12/25,,670,,883265,,,,
9/26/25,,8674,,891939,,,,
5/8/25,,4459,,896398,,,,
2/8/25,,8780,,905178,,,,
12/28/25,,4969,,910147,,,,
6/22/25,,6841,,916988,,,,
8/12/25,,5305,,922293,,,,
4/27/25,,4556,,926849,,,,
4/12/25,,-4953,,921896,,,,
12/19/25,,-4194,,917702,,,,
1/15/25,,8322,,926024,,,,
3/10/25,,6645,,932669,,,,
12/16/25,,6846,,939515,,,,
3/26/25,,4303,,943818,,,,
9/14/25,,-698,,943120,,,,
5/27/25,,-1140,,941980,,,,
8/4/25,,-3452,,938528,,,,
9/11/25,,-3190,,935338,,,,
5/20/25,,801,,936139,,,,
11/19/25,,8036,,944175,,,,
12/18/25,,145,,944320,,,,
4/5/25,,1337,,945657,,,,
6/12/25,,-612,,945045,,,,
3/15/25,,4042,,949087,,,,
10/30/25,,-2126,,946961,,,,
6/17/25,,8382,,955343,,,,
11/27/25,,8918,,964261,,,,
2/27/25,,-2171,,962090,,,,
12/30/25,,4942,,967032,,,,
3/14/25,,9498,,976530,,,,
9/12/25,,-1522,,975008,,,,
6/6/25,,-3378,,971630,,,,
11/1/25,,5125,,976755,,,,
5/12/25,,6876,,983631,,,,
5/10/25,,6678,,990309,,,,
7/22/25,,30,,990339,,,,
11/30/25,,-2260,,988079,,,,
6/10/25,,-921,,987158,,,,
4/8/25,,9557,,996715,,,,
5/15/25,,3849,,1000564,,,,
10/31/25,,5488,,1006052,,,,
1/19/25,,63,,1006115,,,,
4/17/25,,-2663,,1003452,,,,
2/28/25,,3450,,1006902,,,,
7/2/25,,8958,,1015860,,,,
4/9/25,,-967,,1014893,,,,
6/29/25,,2174,,1017067,,,,
6/25/25,,-3957,,1013110,,,,
8/15/25,,6942,,1020052,,,,
4/11/25,,-4935,,1015117,,,,
8/21/25,,-858,,1014259,,,,
6/6/25,,-183,,1014076,,,,
4/17/25,,2952,,1017028,,,,
8/20/25,,3969,,1020997,,,,
2/28/25,,1962,,1022959,,,,
1/31/25,,3239,,1026198,,,,
2/9/25,,-2669,,1023529,,,,
4/23/25,,1885,,1025414,,,,
7/7/25,,4802,,1030216,,,,
11/5/25,,5743,,1035959,,,,
10/14/25,,-4994,,1030965,,,,
7/10/25,,9855,,1040820,,,,
6/5/25,,6732,,1047552,,,,
6/22/25,,9657,,1057209,,,,
11/24/25,,2663,,1059872,,,,
6/14/25,,1217,,1061089,,,,
11/4/25,,7711,,1068800,,,,
7/3/25,,-4936,,1063864,,,,
12/12/25,,9587,,1073451,,,,
1/16/25,,3787,,1077238,,,,
12/21/25,,-4267,,1072971,,,,
7/6/25,,-2963,,1070008,,,,
11/15/25,,-3420,,1066588,,,,
4/1/25,,-3214,,1063374,,,,
6/13/25,,-2597,,1060777,,,,
12/26/25,,1003,,1061780,,,,
1/28/25,,8930,,1070710,,,,
2/20/25,,5512,,1076222,,,,
8/23/25,,-4724,,1071498,,,,
1/29/25,,-2322,,1069176,,,,
9/28/25,,-4511,,1064665,,,,
3/9/25,,7768,,1072433,,,,
3/30/25,,3955,,1076388,,,,
6/6/25,,-322,,1076066,,,,
3/30/25,,779,,1076845,,,,
12/8/25,,7683,,1084528,,,,
4/14/25,,9409,,1093937,,,,
9/13/25,,-1045,,1092892,,,,
3/14/25,,-2313,,1090579,,,,
3/11/25,,6233,,1096812,,,,
2/11/25,,-641,,1096171,,,,
5/13/25,,-1038,,1095133,,,,
11/4/25,,7539,,1102672,,,,
12/14/25,,-4338,,1098334,,,,
10/4/25,,-2642,,1095692,,,,
1/22/25,,4396,,1100088,,,,
4/4/25,,-780,,1099308,,,,
11/18/25,,3571,,1102879,,,,
2/15/25,,6313,,1109192,,,,
7/23/25,,-2626,,1106566,,,,
11/7/25,,8253,,1114819,,,,
9/4/25,,2861,,1117680,,,,
4/8/25,,5460,,1123140,,,,
9/25/25,,5114,,1128254,,,,
5/13/25,,-2460,,1125794,,,,
1/2/25,,429,,1126223,,,,
9/2/25,,4963,,1131186,,,,
12/30/25,,8869,,1140055,,,,
5/30/25,,5205,,1145260,,,,
4/21/25,,2288,,1147548,,,,
10/14/25,,-581,,1146967,,,,
4/18/25,,301,,1147268,,,,
3/20/25,,-3842,,1143426,,,,
10/25/25,,803,,1144229,,,,
11/1/25,,3983,,1148212,,,,
5/11/25,,-264,,1147948,,,,
11/26/25,,-696,,1147252,,,,
7/31/25,,7924,,1155176,,,,
7/5/25,,210,,1155386,,,,
10/11/25,,1886,,1157272,,,,
8/19/25,,-2804,,1154468,,,,
7/25/25,,2208,,1156676,,,,
4/23/25,,6779,,1163455,,,,
12/10/25,,4624,,1168079,,,,
2/16/25,,7808,,1175887,,,,
2/21/25,,1739,,1177626,,,,
8/28/25,,4678,,1182304,,,,
3/22/25,,5654,,1187958,,,,
7/6/25,,3697,,1191655,,,,
3/20/25,,-1844,,1189811,,,,
8/10/25,,-775,,1189036,,,,
12/13/25,,6669,,1195705,,,,
7/7/25,,-3191,,1192514,,,,
4/20/25,,-919,,1191595,,,,
11/28/25,,3294,,1194889,,,,
12/26/25,,641,,1195530,,,,
8/16/25,,-4350,,1191180,,,,
2/26/25,,-2921,,1188259,,,,
9/28/25,,-4484,,1183775,,,,
6/7/25,,-4257,,1179518,,,,
12/29/25,,-1969,,1177549,,,,
10/17/25,,-4284,,1173265,,,,
4/28/25,,867,,1174132,,,,
11/13/25,,6450,,1180582,,,,
3/4/25,,-2838,,1177744,,,,
6/14/25,,-4352,,1173392,,,,
