transaction period,memo,merchant categ,amount,remaining
2024-05-01,Monthly Rent,Rent,-2790.3,17209.7
2024-05-02,Equipment Repair,Maintenance,-745.31,16464.39
2024-05-02,Local Farmers Market,Food Supplies,-616.67,15847.720000000001
2024-05-02,Business License Fee,Miscellaneous,-147.17,15700.55
2024-05-02,Sysco,Food Supplies,-669.4,15031.150000000001
2024-05-03,Marketing Expense,Miscellaneous,-185.67,14845.48
2024-05-03,Local Farmers Market,Food Supplies,-332.21,14513.27
2024-05-03,Sysco,Food Supplies,-817.8,13695.470000000001
2024-05-04,Restaurant Depot,Food Supplies,-211.26,13484.21
2024-05-04,Restaurant Depot,Food Supplies,-783.21,12701.0
2024-05-04,Employee Payroll,Payroll,-2374.71,10326.29
2024-05-04,In-store Cash Sale,Sales,432.52,10758.810000000001
2024-05-04,Monthly Rent,Rent,-2190.82,8567.990000000002
2024-05-05,Gas Bill,Utilities,-197.55,8370.440000000002
2024-05-06,Online Order - UberEats,Sales,449.25,8819.690000000002
2024-05-06,Square POS Payment,Sales,487.27,9306.960000000003
2024-05-07,Employee Payroll,Payroll,-1754.17,7552.790000000003
2024-05-07,Employee Payroll,Payroll,-868.74,6684.050000000003
2024-05-07,Online Order - UberEats,Sales,61.44,6745.490000000003
2024-05-07,Local Farmers Market,Food Supplies,-916.61,5828.880000000003
2024-05-07,Square POS Payment,Sales,278.86,6107.740000000003
2024-05-08,Equipment Repair,Maintenance,-523.09,5584.650000000003
2024-05-08,Square POS Payment,Sales,152.96,5737.610000000002
2024-05-08,Local Farmers Market,Food Supplies,-755.83,4981.7800000000025
2024-05-08,Cleaning Service,Maintenance,-665.68,4316.100000000002
2024-05-09,Online Order - UberEats,Sales,255.44,4571.540000000003
2024-05-09,Restaurant Depot,Food Supplies,-914.05,3657.4900000000034
2024-05-10,Online Order - UberEats,Sales,104.94,3762.430000000004
2024-05-10,Gas Bill,Utilities,-133.02,3629.4100000000035
2024-05-11,US Foods,Food Supplies,-200.42,3428.9900000000052
2024-05-11,Water Utility,Utilities,-102.09,3326.900000000005
2024-05-11,Square POS Payment,Sales,268.17,3595.0700000000033
2024-05-12,Online Order - UberEats,Sales,201.93,3797.0000000000036
2024-05-12,Cleaning Service,Maintenance,-253.13,3543.8700000000026
2024-05-12,Square POS Payment,Sales,79.2,3623.0700000000033
2024-05-12,Restaurant Depot,Food Supplies,-401.43,3221.640000000003
2024-05-12,Square POS Payment,Sales,116.64,3338.2800000000025
2024-05-14,Business License Fee,Miscellaneous,-202.39,3135.890000000003
2024-05-14,Online Order - UberEats,Sales,64.87,3200.760000000002
2024-05-15,Electric Bill,Utilities,-171.87,3028.890000000003
2024-05-15,Restaurant Depot,Food Supplies,-558.23,2470.6600000000035
2024-05-15,In-store Cash Sale,Sales,352.46,2823.1200000000026
2024-05-15,Employee Payroll,Payroll,-1211.67,1611.4500000000044
2024-05-15,Employee Payroll,Payroll,-1874.92,-263.4699999999939
2024-05-16,In-store Cash Sale,Sales,417.39,153.92000000000553
2024-05-17,Employee Payroll,Payroll,-1345.33,-1191.4099999999962
2024-05-17,Sysco,Food Supplies,-886.69,-2078.099999999995
2024-05-18,Water Utility,Utilities,-313.34,-2391.439999999995
2024-05-18,Manager Salary,Payroll,-1896.79,-4288.229999999996
2024-05-18,Sysco,Food Supplies,-518.06,-4806.289999999997
2024-05-18,Square POS Payment,Sales,354.06,-4452.229999999996
2024-05-19,Online Order - UberEats,Sales,466.11,-3986.1199999999953
2024-05-19,Equipment Repair,Maintenance,-259.99,-4246.109999999997
