transaction period,memo,merchant categ,amount,remaining
2025-06-01,Monthly Rent,Rent,-2790.3,-2790.3
2025-06-02,Equipment Repair,Maintenance,-745.31,-3535.61
2025-06-02,Local Farmers Market,Food Supplies,-616.67,-4152.28
2025-06-02,Business License Fee,Miscellaneous,-147.17,-4299.45
2025-06-02,Sysco,Food Supplies,-669.4,-4968.85
2025-06-03,Marketing Expense,Miscellaneous,-185.67,-5154.52
2025-06-03,Local Farmers Market,Food Supplies,-332.21,-5486.73
2025-06-03,Sysco,Food Supplies,-817.8,-6304.53
2025-06-04,Restaurant Depot,Food Supplies,-211.26,-6515.79
2025-06-04,Restaurant Depot,Food Supplies,-783.21,-7299.0
2025-06-04,Employee Payroll,Payroll,-2374.71,-9673.71
2025-06-04,In-store Cash Sale,Sales,432.52,-9241.19
2025-06-04,Monthly Rent,Rent,-2190.82,-11432.01
2025-06-05,Gas Bill,Utilities,-197.55,-11629.56
2025-06-06,Online Order - UberEats,Sales,449.25,-11180.31
2025-06-06,Square POS Payment,Sales,487.27,-10693.04
2025-06-07,Employee Payroll,Payroll,-1754.17,-12447.21
2025-06-07,Employee Payroll,Payroll,-868.74,-13315.95
2025-06-07,Online Order - UberEats,Sales,61.44,-13254.51
2025-06-07,Local Farmers Market,Food Supplies,-916.61,-14171.12
2025-06-07,Square POS Payment,Sales,278.86,-13892.26
2025-06-08,Equipment Repair,Maintenance,-523.09,-14415.35
2025-06-08,Square POS Payment,Sales,152.96,-14262.39
2025-06-08,Local Farmers Market,Food Supplies,-755.83,-15018.22
2025-06-08,Cleaning Service,Maintenance,-665.68,-15683.9
2025-06-09,Online Order - UberEats,Sales,255.44,-15428.46
2025-06-09,Restaurant Depot,Food Supplies,-914.05,-16342.51
2025-06-10,Online Order - UberEats,Sales,104.94,-16237.57
2025-06-10,Gas Bill,Utilities,-133.02,-16370.59
2025-06-11,US Foods,Food Supplies,-200.42,-16571.01
2025-06-11,Water Utility,Utilities,-102.09,-16673.1
2025-06-11,Square POS Payment,Sales,268.17,-16404.93
2025-06-12,Online Order - UberEats,Sales,201.93,-16203.0
2025-06-12,Cleaning Service,Maintenance,-253.13,-16456.13
2025-06-12,Square POS Payment,Sales,79.2,-16376.93
2025-06-12,Restaurant Depot,Food Supplies,-401.43,-16778.36
2025-06-12,Square POS Payment,Sales,116.64,-16661.72
2025-06-14,Business License Fee,Miscellaneous,-202.39,-16864.11
2025-06-14,Online Order - UberEats,Sales,64.87,-16799.24
2025-06-15,Electric Bill,Utilities,-171.87,-16971.11
2025-06-15,Restaurant Depot,Food Supplies,-558.23,-17529.34
2025-06-15,In-store Cash Sale,Sales,352.46,-17176.88
2025-06-15,Employee Payroll,Payroll,-1211.67,-18388.55
2025-06-15,Employee Payroll,Payroll,-1874.92,-20263.47
2025-06-16,In-store Cash Sale,Sales,417.39,-19846.08
2025-06-17,Employee Payroll,Payroll,-1345.33,-21191.41
2025-06-17,Sysco,Food Supplies,-886.69,-22078.1
2025-06-18,Water Utility,Utilities,-313.34,-22391.44
2025-06-18,Manager Salary,Payroll,-1896.79,-24288.23
2025-06-18,Sysco,Food Supplies,-518.06,-24806.29
2025-06-18,Square POS Payment,Sales,354.06,-24452.23
2025-06-19,Online Order - UberEats,Sales,466.11,-23986.12
2025-06-19,Equipment Repair,Maintenance,-259.99,-24246.11
2025-06-19,Restaurant Depot,Food Supplies,-644.16,-24890.27
2025-06-20,Online Order - UberEats,Sales,498.31,-24391.96
2025-06-20,Business License Fee,Miscellaneous,-275.1,-24667.06
2025-06-20,Square POS Payment,Sales,175.49,-24491.57
2025-06-21,In-store Cash Sale,Sales,435.35,-24056.22
2025-06-21,Monthly Rent,Rent,-3775.54,-27831.76
2025-06-21,Equipment Repair,Maintenance,-213.14,-28044.9
2025-06-21,Cleaning Service,Maintenance,-506.48,-28551.38
2025-06-21,Electric Bill,Utilities,-299.05,-28850.43
2025-06-21,Restaurant Depot,Food Supplies,-444.29,-29294.72
2025-06-22,In-store Cash Sale,Sales,343.38,-28951.34
2025-06-22,Sysco,Food Supplies,-214.46,-29165.8
2025-06-22,In-store Cash Sale,Sales,374.42,-28791.38
2025-06-22,Water Utility,Utilities,-210.31,-29001.69
2025-06-23,US Foods,Food Supplies,-671.9,-29673.59
2025-06-23,Business License Fee,Miscellaneous,-273.01,-29946.6
2025-06-24,Online Order - UberEats,Sales,207.54,-29739.06
2025-06-24,In-store Cash Sale,Sales,271.63,-29467.43
2025-06-24,Sysco,Food Supplies,-599.35,-30066.78
2025-06-25,Square POS Payment,Sales,69.62,-29997.16
2025-06-25,Marketing Expense,Miscellaneous,-288.48,-30285.64
2025-06-25,Equipment Repair,Maintenance,-623.4,-30909.04
2025-06-26,Business License Fee,Miscellaneous,-157.05,-31066.09
2025-06-26,Business License Fee,Miscellaneous,-295.08,-31361.17
2025-06-26,Sysco,Food Supplies,-508.08,-31869.25
2025-06-26,Cleaning Service,Maintenance,-439.7,-32308.95
2025-06-26,Gas Bill,Utilities,-380.85,-32689.8
2025-06-27,Online Order - UberEats,Sales,93.73,-32596.07
2025-06-27,Online Order - UberEats,Sales,211.39,-32384.68
2025-06-28,US Foods,Food Supplies,-901.9,-33286.58
2025-06-28,Square POS Payment,Sales,111.48,-33175.1
2025-06-28,In-store Cash Sale,Sales,182.12,-32992.98
2025-06-28,Employee Payroll,Payroll,-1235.55,-34228.53
2025-06-28,Online Order - UberEats,Sales,52.33,-34176.2
2025-06-28,Square POS Payment,Sales,81.92,-34094.28
2025-06-29,Gas Bill,Utilities,-367.0,-34461.28
2025-06-29,Gas Bill,Utilities,-128.19,-34589.47
2025-06-29,Online Order - UberEats,Sales,197.67,-34391.8
2025-06-29,US Foods,Food Supplies,-429.23,-34821.03
2025-06-29,Online Order - UberEats,Sales,162.61,-34658.42
2025-06-30,Local Farmers Market,Food Supplies,-488.15,-35146.57
2025-06-30,Sysco,Food Supplies,-862.3,-36008.87
2025-06-30,Restaurant Depot,Food Supplies,-698.31,-36707.18
2025-06-30,Sysco,Food Supplies,-355.5,-37062.68
2025-06-30,Monthly Rent,Rent,-3399.02,-40461.7
2025-06-31,Restaurant Depot,Food Supplies,-980.68,-41442.38
2025-06-31,Online Order - UberEats,Sales,68.48,-41373.9
