id,date,description,amount,type,category,balance,subcategory
imported-sampledatacsv-row-11,2024-06-09,Banking fee,-25,outflow,Miscellaneous,50875,Bank Fees
imported-sampledatacsv-row-10,2024-06-08,POS sale,,inflow,Sales,50900,Point of Sale Transaction
imported-sampledatacsv-row-9,2024-06-07,Beverage restock,-180,outflow,Other,49400,Groceries - Beverages
imported-sampledatacsv-row-8,2024-06-06,Customer payment,,outflow,Other,49580,Payment Received
imported-sampledatacsv-row-7,2024-06-05,Equipment purchase,-320,outflow,Maintenance,46780,Office Equipment & Supplies
imported-sampledatacsv-row-6,2024-06-04,Payroll,-3500,outflow,Payroll,47100,Salary & Wages
imported-sampledatacsv-row-4,2024-06-03,POS sale,,inflow,Sales,51050,Point of Sale Transaction
imported-sampledatacsv-row-5,2024-06-03,Utilities,-450,outflow,Utilities,50600,Utilities
imported-sampledatacsv-row-3,2024-06-02,Food inventory,-850,outflow,Food Supplies,49850,Inventory:Food
imported-sampledatacsv-row-1,2024-06-01,Monthly rent,-2500,outflow,Rent,47500,Housing:Rent
imported-sampledatacsv-row-2,2024-06-01,Customer payment,,outflow,Other,50700,Income:Customer Payments
